Start Place,End Place,Weight,Gen Day,Gen Timeframe
[0],[54],6.9,1,"[5, 16]"
[0],[24],1.0,1,"[0, 5]"
[0],[84],1.2,1,"[20, 22]"
[0],[18],3.9,0,"[5, 23]"
[0],[40],6.0,2,"[19, 21]"
[0],[70],3.7,3,"[2, 19]"
[0],[34],0.5,2,"[18, 23]"
[0],[2],1.0,3,"[3, 4]"
[0],[26],0.0,1,"[15, 19]"
[0],[65],7.1,2,"[1, 17]"
[0],[14],9.1,1,"[3, 21]"
[0],[37],2.5,0,"[3, 12]"
[0],[45],7.0,3,"[17, 22]"
[0],[89],7.7,2,"[14, 18]"
[0],[80],0.5,3,"[7, 22]"
[0],[93],1.4,2,"[15, 16]"
[0],[77],5.2,0,"[13, 14]"
[0],[76],8.5,3,"[12, 23]"
[0],[69],3.8,2,"[2, 12]"
[0],[98],6.8,3,"[11, 13]"
[0],[41],3.8,2,"[4, 22]"
[0],[22],7.9,0,"[2, 6]"
[0],[62],3.0,1,"[9, 21]"
[0],[67],6.9,3,"[14, 19]"
[0],[97],2.0,2,"[15, 18]"
[0],[31],0.0,3,"[16, 18]"
[0],[9],2.7,2,"[8, 21]"
[0],[74],1.2,2,"[0, 12]"
[0],[88],4.2,0,"[6, 7]"
[0],[36],1.1,1,"[1, 7]"
[0],[59],0.6,1,"[7, 21]"
[0],[29],5.7,0,"[6, 23]"
[0],[73],1.6,1,"[9, 13]"
[0],[6],4.7,0,"[16, 22]"
[0],[20],8.2,2,"[6, 19]"
[0],[56],3.6,0,"[0, 6]"
[0],[27],9.2,3,"[3, 14]"
[0],[91],3.3,1,"[7, 11]"
[0],[72],1.3,0,"[2, 12]"
[0],[42],7.6,2,"[0, 18]"
[0],[13],6.5,1,"[18, 23]"
[0],[90],8.7,0,"[3, 22]"
[0],[3],0.1,1,"[3, 12]"
[0],[12],4.6,0,"[3, 23]"
[0],[64],5.2,2,"[19, 20]"
[0],[8],9.2,1,"[0, 11]"
[0],[87],2.1,3,"[14, 15]"
[0],[68],4.1,1,"[18, 22]"
[0],[49],0.5,3,"[0, 13]"
[0],[55],2.6,2,"[0, 13]"
