Start Place,End Place,Weight,Gen Day,Gen Timeframe
[0],[77],5.0,1,"[2, 15]"
[0],[75],6.1,0,"[8, 20]"
[0],[46],8.6,3,"[3, 19]"
[0],[42],9.6,2,"[1, 16]"
[0],[70],1.2,1,"[1, 6]"
[0],[37],5.1,2,"[3, 14]"
[0],[58],2.3,1,"[10, 19]"
[0],[68],4.2,0,"[8, 20]"
[0],[83],9.6,2,"[10, 19]"
[0],[74],6.5,2,"[1, 10]"
[0],[45],6.5,1,"[2, 16]"
[0],[36],5.5,3,"[14, 16]"
[0],[92],2.6,2,"[16, 23]"
[0],[67],8.1,3,"[9, 19]"
[0],[28],7.9,3,"[7, 23]"
[0],[22],2.5,1,"[18, 19]"
[0],[29],6.8,3,"[1, 6]"
[0],[17],4.3,0,"[9, 10]"
[0],[20],4.3,0,"[1, 14]"
[0],[72],1.8,1,"[3, 17]"
[0],[3],6.2,2,"[7, 12]"
[0],[26],1.8,2,"[11, 13]"
[0],[53],4.9,1,"[11, 23]"
[0],[96],6.6,3,"[8, 9]"
[0],[71],0.0,3,"[4, 17]"
[0],[61],6.5,3,"[0, 8]"
[0],[7],8.3,0,"[16, 18]"
[0],[81],9.3,1,"[12, 22]"
[0],[38],4.8,3,"[21, 22]"
[0],[47],1.4,2,"[6, 20]"
[0],[63],9.6,3,"[3, 22]"
[0],[62],1.3,1,"[7, 21]"
[0],[14],2.7,0,"[10, 18]"
[0],[66],8.5,3,"[7, 21]"
[0],[35],6.8,0,"[9, 16]"
[0],[57],0.0,2,"[2, 20]"
[0],[32],3.7,3,"[0, 3]"
[0],[41],5.9,3,"[9, 20]"
[0],[4],5.3,2,"[5, 6]"
[0],[44],1.0,1,"[9, 12]"
[0],[73],2.5,0,"[12, 14]"
[0],[39],3.1,2,"[10, 15]"
[0],[13],5.0,0,"[4, 11]"
[0],[84],1.7,2,"[1, 11]"
[0],[40],0.2,1,"[3, 4]"
[0],[64],0.5,3,"[11, 15]"
[0],[98],2.5,0,"[4, 23]"
[0],[8],1.7,1,"[2, 23]"
[0],[93],2.9,0,"[6, 11]"
[0],[59],0.1,3,"[12, 23]"
