Start Place,End Place,Weight,Gen Day,Gen Timeframe
[0],[56],4.3,1,"[6, 7]"
[0],[20],6.1,3,"[15, 18]"
[0],[38],0.9,3,"[13, 17]"
[0],[60],4.5,0,"[14, 16]"
[0],[32],7.3,2,"[3, 5]"
[0],[86],7.2,2,"[4, 22]"
[0],[65],2.7,0,"[5, 11]"
[0],[24],5.5,1,"[12, 21]"
[0],[18],4.3,2,"[0, 11]"
[0],[75],3.3,1,"[7, 18]"
[0],[71],7.1,3,"[5, 23]"
[0],[47],1.6,2,"[0, 4]"
[0],[13],3.8,3,"[15, 23]"
[0],[90],1.8,2,"[4, 5]"
[0],[88],8.5,2,"[8, 17]"
[0],[10],3.0,0,"[7, 18]"
[0],[44],3.4,2,"[3, 19]"
[0],[70],5.3,3,"[0, 22]"
[0],[79],2.7,1,"[5, 6]"
[0],[7],4.3,3,"[7, 19]"
[0],[97],8.9,2,"[12, 20]"
[0],[68],5.1,2,"[1, 18]"
[0],[46],6.5,0,"[3, 7]"
[0],[36],5.7,2,"[13, 17]"
[0],[73],0.1,1,"[4, 18]"
[0],[33],3.8,2,"[4, 18]"
[0],[28],6.6,2,"[3, 11]"
[0],[52],7.2,2,"[4, 9]"
[0],[31],8.3,2,"[0, 2]"
[0],[30],8.9,0,"[13, 19]"
[0],[17],5.5,3,"[7, 13]"
[0],[2],0.1,1,"[15, 20]"
[0],[94],4.9,1,"[7, 20]"
[0],[6],0.2,3,"[10, 19]"
[0],[5],4.3,1,"[12, 16]"
[0],[78],2.5,2,"[20, 21]"
[0],[49],8.0,0,"[10, 20]"
[0],[37],7.7,1,"[1, 2]"
[0],[93],1.1,0,"[2, 21]"
[0],[87],6.7,0,"[9, 18]"
[0],[62],9.5,3,"[15, 16]"
[0],[80],2.0,1,"[1, 9]"
[0],[43],6.7,2,"[10, 22]"
[0],[89],5.2,1,"[13, 17]"
[0],[96],2.8,1,"[17, 21]"
[0],[58],0.0,2,"[3, 17]"
[0],[4],1.8,3,"[19, 21]"
[0],[34],3.0,2,"[9, 19]"
[0],[1],7.1,2,"[5, 21]"
[0],[54],1.5,3,"[0, 10]"
