Start Place,End Place,Weight,Gen Day,Gen Timeframe
[0],[58],4.5,1,"[7, 10]"
[0],[45],3.6,0,"[8, 22]"
[0],[5],8.0,3,"[8, 22]"
[0],[12],1.1,1,"[0, 11]"
[0],[94],8.8,0,"[4, 18]"
[0],[93],9.3,1,"[7, 17]"
[0],[69],8.4,0,"[7, 20]"
[0],[67],5.8,1,"[16, 17]"
[0],[42],8.2,1,"[11, 12]"
[0],[64],2.7,1,"[0, 15]"
[0],[50],6.2,1,"[13, 15]"
[0],[78],6.0,2,"[8, 11]"
[0],[25],3.1,3,"[2, 22]"
[0],[55],1.8,3,"[6, 14]"
[0],[31],1.1,0,"[7, 14]"
[0],[3],4.1,1,"[0, 17]"
[0],[6],0.6,0,"[8, 17]"
[0],[91],7.4,0,"[0, 16]"
[0],[95],2.6,2,"[4, 23]"
[0],[97],4.7,3,"[20, 22]"
[0],[86],7.9,0,"[12, 22]"
[0],[98],0.7,2,"[5, 8]"
[0],[82],2.3,2,"[6, 17]"
[0],[54],2.7,3,"[0, 2]"
[0],[38],4.1,0,"[3, 18]"
[0],[76],8.6,2,"[3, 17]"
[0],[47],0.5,2,"[7, 15]"
[0],[26],2.3,2,"[2, 18]"
[0],[15],9.1,0,"[6, 18]"
[0],[29],0.6,0,"[2, 17]"
[0],[1],0.4,1,"[4, 13]"
[0],[39],7.0,2,"[11, 13]"
[0],[83],0.0,1,"[18, 22]"
[0],[44],4.7,0,"[11, 18]"
[0],[34],2.1,3,"[6, 8]"
[0],[84],2.7,0,"[16, 23]"
[0],[35],3.9,0,"[9, 23]"
[0],[88],0.9,3,"[3, 15]"
[0],[70],8.6,3,"[1, 22]"
[0],[24],1.3,2,"[15, 16]"
[0],[22],9.3,2,"[1, 2]"
[0],[59],3.9,1,"[13, 17]"
[0],[33],3.9,1,"[5, 9]"
[0],[19],6.3,0,"[3, 7]"
[0],[13],1.8,2,"[3, 12]"
[0],[60],8.5,3,"[8, 13]"
[0],[8],6.7,3,"[16, 21]"
[0],[30],7.0,3,"[4, 13]"
[0],[80],8.2,1,"[3, 20]"
[0],[52],8.3,2,"[2, 22]"
