Start Place,End Place,Weight,Gen Day,Gen Timeframe
[0],[93],8.7,1,"[8, 21]"
[0],[82],1.2,2,"[5, 18]"
[0],[4],5.2,3,"[2, 3]"
[0],[17],4.0,3,"[14, 18]"
[0],[53],2.6,1,"[10, 20]"
[0],[88],4.2,2,"[2, 13]"
[0],[81],6.6,3,"[2, 12]"
[0],[27],7.3,1,"[1, 6]"
[0],[13],1.0,1,"[8, 22]"
[0],[98],3.6,2,"[8, 22]"
[0],[21],7.9,0,"[0, 8]"
[0],[91],2.9,1,"[7, 18]"
[0],[8],0.1,2,"[4, 8]"
[0],[89],8.2,2,"[19, 23]"
[0],[58],1.9,2,"[13, 17]"
[0],[15],7.7,0,"[6, 16]"
[0],[56],2.2,1,"[2, 3]"
[0],[38],0.0,2,"[21, 23]"
[0],[52],5.8,0,"[5, 21]"
[0],[16],5.8,2,"[0, 2]"
[0],[74],9.5,0,"[2, 10]"
[0],[33],8.2,0,"[9, 21]"
[0],[85],0.5,0,"[6, 7]"
[0],[66],6.4,0,"[0, 5]"
[0],[86],9.5,1,"[4, 9]"
[0],[54],3.5,0,"[3, 12]"
[0],[28],3.0,1,"[3, 7]"
[0],[39],1.6,3,"[4, 20]"
[0],[11],5.7,3,"[0, 5]"
[0],[25],8.1,2,"[3, 12]"
[0],[19],8.6,0,"[0, 8]"
[0],[51],5.9,0,"[2, 18]"
[0],[61],2.7,0,"[22, 23]"
[0],[68],0.8,2,"[0, 22]"
[0],[23],3.5,2,"[3, 19]"
[0],[1],0.5,1,"[6, 23]"
[0],[80],5.1,0,"[11, 18]"
[0],[37],5.6,0,"[4, 20]"
[0],[41],2.9,1,"[9, 14]"
[0],[44],4.8,1,"[1, 19]"
[0],[45],1.7,0,"[11, 23]"
[0],[3],9.7,0,"[7, 15]"
[0],[70],1.8,2,"[0, 23]"
[0],[18],8.7,2,"[11, 16]"
[0],[69],8.9,2,"[16, 19]"
[0],[84],9.1,2,"[2, 19]"
[0],[46],4.1,1,"[20, 23]"
[0],[90],9.2,0,"[8, 23]"
[0],[83],0.4,1,"[11, 12]"
[0],[73],8.5,0,"[5, 10]"
