Start Place,End Place,Weight,Gen Day,Gen Timeframe
[0],[42],9.2,3,"[5, 15]"
[0],[93],0.8,1,"[9, 18]"
[0],[83],0.4,3,"[2, 6]"
[0],[75],5.3,0,"[12, 17]"
[0],[86],6.3,1,"[0, 3]"
[0],[15],2.8,0,"[10, 15]"
[0],[92],6.4,2,"[16, 20]"
[0],[29],8.6,2,"[10, 13]"
[0],[37],5.8,3,"[0, 17]"
[0],[13],1.1,1,"[9, 19]"
[0],[27],0.7,2,"[1, 21]"
[0],[43],9.4,0,"[14, 18]"
[0],[94],3.4,1,"[9, 18]"
[0],[39],8.5,0,"[6, 16]"
[0],[61],7.2,3,"[9, 15]"
[0],[12],1.3,3,"[15, 19]"
[0],[72],8.4,3,"[4, 19]"
[0],[80],0.9,2,"[0, 11]"
[0],[63],3.9,2,"[4, 17]"
[0],[66],4.0,3,"[5, 18]"
[0],[26],4.8,3,"[11, 13]"
[0],[36],2.4,2,"[5, 7]"
[0],[53],5.8,1,"[0, 18]"
[0],[65],7.4,1,"[3, 20]"
[0],[30],6.1,0,"[9, 13]"
[0],[77],7.2,1,"[11, 16]"
[0],[74],4.3,1,"[7, 8]"
[0],[73],6.6,2,"[1, 18]"
[0],[2],9.6,1,"[5, 20]"
[0],[21],5.4,1,"[18, 22]"
[0],[3],0.6,2,"[11, 13]"
[0],[85],6.4,1,"[6, 7]"
[0],[34],1.4,0,"[7, 21]"
[0],[68],1.8,1,"[2, 11]"
[0],[84],6.8,2,"[0, 4]"
[0],[17],7.2,0,"[1, 16]"
[0],[44],1.2,1,"[9, 23]"
[0],[10],0.9,3,"[11, 19]"
[0],[70],7.6,0,"[4, 18]"
[0],[18],6.5,3,"[4, 15]"
[0],[88],1.4,2,"[8, 19]"
[0],[49],2.6,0,"[1, 19]"
[0],[81],8.6,3,"[16, 21]"
[0],[57],3.5,0,"[5, 14]"
[0],[45],0.5,1,"[0, 18]"
[0],[11],1.8,3,"[12, 18]"
[0],[32],4.3,0,"[5, 15]"
[0],[97],9.6,0,"[4, 14]"
[0],[78],1.9,2,"[10, 18]"
[0],[47],7.1,2,"[2, 11]"
