Start Place,End Place,Weight,Gen Day,Gen Timeframe
[0],[86],6.4,0,"[13, 22]"
[0],[72],6.8,2,"[4, 14]"
[0],[38],3.8,3,"[4, 6]"
[0],[12],6.2,1,"[7, 21]"
[0],[95],1.3,2,"[13, 21]"
[0],[61],5.7,2,"[11, 17]"
[0],[65],3.4,0,"[0, 7]"
[0],[53],0.6,3,"[10, 20]"
[0],[76],9.5,2,"[11, 20]"
[0],[4],1.0,0,"[14, 16]"
[0],[54],5.2,2,"[0, 12]"
[0],[89],1.9,2,"[0, 5]"
[0],[2],4.6,1,"[6, 14]"
[0],[22],4.0,2,"[9, 16]"
[0],[32],0.8,0,"[1, 22]"
[0],[63],1.7,1,"[1, 5]"
[0],[15],0.8,3,"[0, 2]"
[0],[73],8.6,0,"[14, 17]"
[0],[83],2.8,1,"[9, 19]"
[0],[68],3.3,0,"[1, 6]"
[0],[9],6.7,3,"[2, 7]"
[0],[7],0.5,3,"[8, 20]"
[0],[62],5.4,0,"[9, 22]"
[0],[16],7.9,0,"[0, 15]"
[0],[23],8.4,3,"[10, 20]"
[0],[69],3.8,3,"[6, 23]"
[0],[57],6.5,0,"[1, 10]"
[0],[70],2.1,1,"[2, 22]"
[0],[96],7.5,2,"[4, 20]"
[0],[48],4.0,3,"[8, 11]"
[0],[77],1.4,1,"[21, 22]"
[0],[41],8.0,0,"[4, 12]"
[0],[31],8.0,3,"[4, 13]"
[0],[28],7.3,2,"[6, 22]"
[0],[19],5.1,0,"[0, 19]"
[0],[97],2.6,3,"[18, 22]"
[0],[92],4.5,3,"[3, 5]"
[0],[78],9.7,3,"[10, 17]"
[0],[56],3.0,1,"[4, 22]"
[0],[45],8.3,0,"[0, 23]"
[0],[46],3.8,0,"[1, 18]"
[0],[40],2.5,2,"[1, 18]"
[0],[74],3.6,1,"[2, 17]"
[0],[82],4.7,1,"[3, 7]"
[0],[75],5.4,3,"[0, 10]"
[0],[59],1.8,3,"[1, 14]"
[0],[30],3.8,2,"[9, 18]"
[0],[34],7.5,1,"[7, 12]"
[0],[6],7.8,0,"[18, 20]"
[0],[64],4.9,0,"[0, 18]"
