Start Place,End Place,Weight,Gen Day,Gen Timeframe
[0],[22],3.0,3,"[19, 20]"
[0],[64],3.1,2,"[5, 14]"
[0],[56],4.0,2,"[0, 16]"
[0],[15],1.1,3,"[1, 6]"
[0],[48],1.4,3,"[1, 19]"
[0],[99],2.6,0,"[8, 13]"
[0],[95],3.9,2,"[5, 8]"
[0],[59],5.3,2,"[9, 16]"
[0],[43],7.6,0,"[0, 20]"
[0],[96],2.0,3,"[11, 23]"
[0],[88],0.0,1,"[5, 17]"
[0],[12],4.1,3,"[7, 12]"
[0],[17],2.7,1,"[0, 1]"
[0],[36],4.5,1,"[3, 11]"
[0],[44],3.2,1,"[6, 22]"
[0],[41],4.4,3,"[4, 10]"
[0],[4],1.6,0,"[13, 18]"
[0],[83],8.4,1,"[4, 9]"
[0],[8],3.1,2,"[17, 21]"
[0],[42],0.1,3,"[2, 9]"
[0],[82],4.1,2,"[3, 23]"
[0],[66],1.5,0,"[14, 22]"
[0],[92],4.6,1,"[7, 9]"
[0],[33],4.1,0,"[1, 12]"
[0],[21],7.6,3,"[1, 19]"
[0],[69],5.9,2,"[11, 21]"
[0],[28],8.4,3,"[11, 15]"
[0],[90],5.7,2,"[17, 23]"
[0],[2],2.0,3,"[18, 19]"
[0],[94],7.9,1,"[12, 17]"
[0],[84],2.4,0,"[12, 22]"
[0],[61],1.1,1,"[3, 21]"
[0],[54],6.4,1,"[5, 13]"
[0],[97],2.0,1,"[0, 19]"
[0],[35],1.9,0,"[0, 23]"
[0],[81],8.4,3,"[14, 21]"
[0],[16],0.4,0,"[4, 18]"
[0],[51],8.6,2,"[14, 22]"
[0],[27],3.6,1,"[0, 1]"
[0],[37],5.0,2,"[4, 6]"
[0],[86],2.2,0,"[4, 22]"
[0],[78],5.0,0,"[12, 16]"
[0],[76],4.7,1,"[4, 12]"
[0],[23],6.6,2,"[4, 23]"
[0],[7],4.3,3,"[9, 15]"
[0],[75],7.2,3,"[1, 8]"
[0],[53],5.4,2,"[10, 11]"
[0],[25],1.7,1,"[1, 19]"
[0],[87],4.5,3,"[12, 15]"
[0],[13],4.5,0,"[2, 14]"
