Start Place,End Place,Weight,Gen Day,Gen Timeframe
[0],[45],6.0,1,"[0, 18]"
[0],[75],7.0,1,"[15, 23]"
[0],[91],5.8,1,"[14, 18]"
[0],[80],9.2,2,"[2, 14]"
[0],[24],2.0,3,"[18, 19]"
[0],[38],3.3,0,"[4, 23]"
[0],[92],6.6,3,"[3, 11]"
[0],[37],3.9,3,"[10, 15]"
[0],[47],3.3,2,"[8, 18]"
[0],[96],4.0,3,"[1, 3]"
[0],[60],9.1,2,"[3, 13]"
[0],[58],7.5,1,"[5, 11]"
[0],[39],1.4,0,"[10, 18]"
[0],[52],0.1,3,"[13, 23]"
[0],[54],5.4,3,"[1, 16]"
[0],[34],6.7,1,"[3, 10]"
[0],[64],9.0,0,"[4, 5]"
[0],[16],3.3,2,"[1, 22]"
[0],[63],9.3,3,"[3, 9]"
[0],[19],7.0,0,"[4, 6]"
[0],[5],8.2,3,"[14, 16]"
[0],[81],3.0,2,"[2, 13]"
[0],[50],3.4,0,"[3, 4]"
[0],[44],6.5,0,"[4, 13]"
[0],[29],3.0,2,"[3, 14]"
[0],[23],5.1,1,"[15, 17]"
[0],[98],4.1,1,"[14, 21]"
[0],[56],4.5,1,"[0, 6]"
[0],[9],4.5,2,"[11, 18]"
[0],[76],7.2,1,"[11, 18]"
[0],[69],5.0,0,"[7, 14]"
[0],[97],6.5,3,"[10, 22]"
[0],[87],2.4,1,"[1, 10]"
[0],[71],6.0,0,"[4, 7]"
[0],[66],1.5,0,"[8, 23]"
[0],[31],3.0,2,"[16, 21]"
[0],[20],5.4,0,"[3, 4]"
[0],[78],8.0,0,"[3, 18]"
[0],[70],2.2,2,"[1, 23]"
[0],[57],0.6,1,"[2, 14]"
[0],[35],7.6,2,"[3, 15]"
[0],[26],7.0,3,"[11, 22]"
[0],[25],0.0,2,"[6, 16]"
[0],[15],6.7,3,"[0, 15]"
[0],[93],9.2,1,"[0, 20]"
[0],[89],7.3,2,"[4, 9]"
[0],[43],2.6,0,"[12, 22]"
[0],[77],2.0,3,"[18, 22]"
[0],[82],0.9,2,"[15, 20]"
[0],[32],5.2,2,"[11, 19]"
