Start Place,End Place,Weight,Gen Day,Gen Timeframe
[0],[53],8.7,0,"[12, 19]"
[0],[97],3.7,0,"[14, 15]"
[0],[71],2.4,0,"[17, 19]"
[0],[21],8.3,2,"[2, 7]"
[0],[91],4.4,0,"[5, 19]"
[0],[54],7.0,1,"[13, 20]"
[0],[4],9.4,3,"[1, 22]"
[0],[14],8.3,0,"[10, 11]"
[0],[17],5.5,2,"[8, 12]"
[0],[70],1.3,1,"[4, 9]"
[0],[51],6.1,1,"[19, 22]"
[0],[79],5.9,0,"[12, 18]"
[0],[9],2.1,1,"[19, 21]"
[0],[66],0.6,3,"[4, 7]"
[0],[89],5.1,1,"[10, 18]"
[0],[92],4.5,2,"[4, 21]"
[0],[12],0.7,2,"[10, 21]"
[0],[13],2.0,2,"[12, 21]"
[0],[85],5.9,0,"[0, 12]"
[0],[10],7.5,3,"[8, 11]"
[0],[83],5.2,0,"[21, 23]"
[0],[46],5.9,1,"[6, 7]"
[0],[8],5.7,3,"[5, 16]"
[0],[87],5.5,1,"[22, 23]"
[0],[23],2.1,3,"[19, 22]"
[0],[37],0.0,2,"[15, 16]"
[0],[40],1.2,3,"[8, 10]"
[0],[57],7.6,1,"[1, 4]"
[0],[52],5.9,3,"[2, 11]"
[0],[76],5.5,0,"[4, 17]"
[0],[49],5.2,2,"[13, 19]"
[0],[84],3.7,2,"[2, 22]"
[0],[42],6.0,1,"[14, 21]"
[0],[60],3.3,0,"[14, 21]"
[0],[7],7.1,1,"[0, 9]"
[0],[50],8.1,2,"[13, 21]"
[0],[63],6.2,0,"[3, 18]"
[0],[31],2.3,0,"[0, 19]"
[0],[18],7.2,2,"[3, 8]"
[0],[61],7.9,1,"[9, 17]"
[0],[55],2.1,1,"[17, 18]"
[0],[72],1.4,0,"[13, 21]"
[0],[15],6.6,0,"[14, 17]"
[0],[34],6.4,2,"[9, 22]"
[0],[69],1.0,0,"[20, 21]"
[0],[80],6.5,1,"[5, 9]"
[0],[74],8.9,0,"[9, 16]"
[0],[68],1.8,1,"[5, 12]"
[0],[41],4.8,2,"[2, 22]"
[0],[3],7.2,1,"[1, 22]"
