Start Place,End Place,Weight,Gen Day,Gen Timeframe
[0],[4],7.1,2,"[0, 23]"
[0],[99],0.8,2,"[12, 23]"
[0],[14],6.4,0,"[13, 14]"
[0],[1],7.4,1,"[6, 11]"
[0],[8],2.2,3,"[2, 9]"
[0],[61],5.0,0,"[9, 15]"
[0],[18],6.3,2,"[12, 13]"
[0],[89],2.5,1,"[1, 22]"
[0],[51],3.2,2,"[16, 23]"
[0],[83],4.7,2,"[12, 21]"
[0],[79],5.2,3,"[8, 18]"
[0],[22],7.7,3,"[16, 21]"
[0],[92],5.7,3,"[1, 3]"
[0],[95],0.1,1,"[3, 12]"
[0],[63],2.8,0,"[1, 17]"
[0],[57],0.6,2,"[5, 10]"
[0],[94],4.8,3,"[21, 22]"
[0],[29],6.6,3,"[16, 22]"
[0],[90],2.3,2,"[1, 22]"
[0],[93],3.8,0,"[8, 10]"
[0],[71],5.5,3,"[10, 13]"
[0],[6],0.8,1,"[2, 5]"
[0],[53],0.3,2,"[1, 23]"
[0],[74],8.4,1,"[8, 18]"
[0],[88],1.7,3,"[1, 16]"
[0],[26],7.3,2,"[5, 11]"
[0],[11],5.6,2,"[16, 20]"
[0],[47],2.0,2,"[4, 5]"
[0],[43],3.1,0,"[10, 21]"
[0],[10],0.4,2,"[18, 22]"
[0],[73],1.8,1,"[9, 16]"
[0],[77],4.0,1,"[8, 16]"
[0],[31],6.3,1,"[17, 23]"
[0],[16],3.1,1,"[12, 19]"
[0],[58],1.9,3,"[12, 13]"
[0],[32],4.3,1,"[7, 23]"
[0],[65],5.3,0,"[3, 15]"
[0],[98],3.9,1,"[4, 21]"
[0],[70],5.9,3,"[9, 18]"
[0],[49],3.6,0,"[4, 14]"
[0],[96],0.7,1,"[14, 19]"
[0],[82],6.9,2,"[16, 18]"
[0],[69],9.7,1,"[11, 16]"
[0],[17],2.1,1,"[0, 12]"
[0],[66],5.0,1,"[5, 13]"
[0],[40],1.2,3,"[0, 11]"
[0],[9],0.9,2,"[9, 19]"
[0],[91],4.9,2,"[18, 23]"
[0],[80],0.5,3,"[13, 21]"
[0],[27],4.0,3,"[13, 21]"
