Start Place,End Place,Weight,Gen Day,Gen Timeframe
[0],[22],5.3,3,"[9, 20]"
[0],[62],2.7,3,"[5, 16]"
[0],[65],6.7,1,"[0, 11]"
[0],[75],5.4,0,"[4, 7]"
[0],[30],8.8,0,"[13, 23]"
[0],[99],5.2,3,"[1, 10]"
[0],[70],6.3,0,"[11, 20]"
[0],[3],1.9,0,"[0, 3]"
[0],[59],2.0,2,"[12, 15]"
[0],[20],2.3,0,"[7, 15]"
[0],[10],2.5,1,"[18, 21]"
[0],[94],0.9,0,"[15, 17]"
[0],[72],4.9,1,"[4, 10]"
[0],[69],5.2,2,"[11, 14]"
[0],[35],0.3,0,"[5, 22]"
[0],[92],6.3,0,"[2, 15]"
[0],[71],7.6,1,"[18, 19]"
[0],[41],7.1,0,"[5, 21]"
[0],[98],7.6,2,"[3, 7]"
[0],[21],8.7,0,"[16, 21]"
[0],[85],3.0,3,"[5, 23]"
[0],[76],0.1,2,"[15, 16]"
[0],[49],8.5,1,"[5, 7]"
[0],[19],1.9,3,"[1, 8]"
[0],[18],8.3,3,"[0, 6]"
[0],[47],1.9,2,"[13, 19]"
[0],[63],7.4,3,"[4, 9]"
[0],[2],4.8,1,"[0, 22]"
[0],[34],7.5,2,"[7, 20]"
[0],[97],1.7,1,"[3, 4]"
[0],[51],1.2,1,"[0, 20]"
[0],[58],1.8,0,"[3, 20]"
[0],[37],1.6,2,"[10, 17]"
[0],[24],2.3,3,"[6, 22]"
[0],[96],7.0,0,"[19, 22]"
[0],[60],0.8,3,"[5, 18]"
[0],[8],6.5,2,"[9, 16]"
[0],[38],8.9,1,"[2, 19]"
[0],[42],2.5,2,"[2, 10]"
[0],[66],4.9,3,"[2, 7]"
[0],[4],0.6,3,"[1, 7]"
[0],[36],9.0,3,"[13, 23]"
[0],[23],6.2,2,"[19, 22]"
[0],[28],5.7,2,"[7, 15]"
[0],[64],4.9,2,"[12, 19]"
[0],[68],9.1,0,"[5, 10]"
[0],[26],3.9,3,"[4, 22]"
[0],[12],7.0,1,"[2, 16]"
[0],[39],7.9,3,"[14, 23]"
[0],[14],2.1,3,"[6, 21]"
